"","Time","Clim.ID","sites","Latitude","Longitude","Abies","Acer","Alnus","Anacardiaceae","Aquifoliaceae.undiff","Betula","Boraginaceae","Carya","Castanea","Celtis","Cornus","Cupressaceae.Taxaceae.undiff","Ericaceae.undiff","Euphorbiaceae","Fabaceae.undiff","Fagus","Fraxinus","Juglans","Larix","Liquidambar","Moraceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg.Pinus","Pinus.subg.Strobus","Pinus.undiff","Platanus","Polygonaceae.undiff","Populus","Quercus","Rhamnaceae","Rosaceae.undiff","Salix","Taxodium","Taxus","Tilia","Tsuga","Ulmus"
"24",20,32710,"CLEARPND",33.798611,-78.953611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832345419292001,0,0,0,0.167654580707999,0,0,0,0,0,0,0,0
"25",20,30754,"CUPOLA",36.8,-91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420149783353789,0.150048468189518,0,0.266509496686802,0,0,0,0.163292251769891,0,0,0,0,0,0,0,0
"26",20,33983,"GOSHEN",31.721111,-86.134167,0,0,0,0,0,0,0,0.0571307021953044,0,0,0,0,0,0,0,0,0,0,0,0.129633291652974,0,0,0,0,0,0,0.446636644647404,0,0,0,0.366599361504317,0,0,0,0,0,0,0,0
"27",20,30442,"JACKSON",37.4331,-85.7238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564964578397727,0.435035421602273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",20,36891,"LKANNIE",27.2,-81.416667,0,0,0,0,0,0,0,0.0831198405920868,0,0,0,0,0.124224309706804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245658980927982,0,0,0,0.546996868773128,0,0,0,0,0,0,0,0
"29",20,29135,"MUSCOTAA",39.53,-95.513333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90031496876967,0,0,0.0996850312303304,0,0,0,0,0,0,0,0,0,0,0,0
"30",20,34927,"PATSCHKE",30.366667,-97.116667,0,0,0.332206079843731,0.0969967036991819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484397509461604,0.0863997069954829,0,0,0,0,0,0,0
"31",20,31077,"PWFTSWAL",36.6,-90.583333,0.058177669934025,0,0.0684744241178433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500605413819184,0.0642291171165425,0,0.0863971057315482,0,0,0.0798365448964299,0.0575890915754003,0,0,0.0846906328090269,0,0,0,0,0
"32",20,32376,"QUICKSND",34.326389,-84.865278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925000210895886,0,0,0,0.0749997891041137,0,0,0,0,0,0,0,0
"33",20,31104,"ROCKYHOC",36.166667,-76.683333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183294910703947,0,0,0.816705089296053,0,0,0,0,0,0,0,0,0,0,0,0
"34",20,33668,"SANDYRUN",32.589,-83.052,0,0,0.206050540745473,0,0,0,0,0.077745117277952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452125351849556,0,0,0,0.264078990127019,0,0,0,0,0,0,0,0
"35",20,36891,"TULANEG",27.5895,-81.5008,0,0,0,0,0,0,0,0.0580491488512652,0,0,0,0.0592817802019538,0,0,0,0,0,0,0,0,0,0,0,0,0.0718981926231818,0,0.469494362633076,0,0,0,0.341276515690523,0,0,0,0,0,0,0,0
"36",20,32384,"WHITEPND",34.166667,-80.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671108375007597,0,0,0.93288916249924,0,0,0,0,0,0,0,0,0,0,0,0
"37",20,24629,"WOLFCRK",46.116667,-94.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108595519517302,0,0,0,0,0,0,0.536144179771751,0,0,0.060338087740814,0,0,0.155177192880509,0.0610197876476619,0,0,0.0787252324419618,0,0,0,0,0
"38",19,20840,"ALEXISLK",52.516667,-57.033333,0,0,0.230778446467802,0,0,0.314683312691765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107991710179924,0,0,0.0791593798816273,0,0,0,0,0,0,0.267387150778881,0,0,0,0,0
